Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000205	2	2	3	5	1	4	core
OG0000206	3	3	3	3	1	4	core
OG0000207	3	3	3	3	1	4	core
OG0000208	3	3	3	4	0	4	core
OG0000209	2	2	4	4	0	4	core
OG0000210	1	1	1	5	4	4	core
OG0000211	4	0	5	1	2	3	shell
OG0000212	3	3	2	3	1	4	core
OG0000213	2	4	0	4	2	3	shell
OG0000214	2	3	3	3	1	4	core
OG0000215	2	3	2	2	3	4	core
OG0000216	3	2	3	3	1	4	core
OG0000217	2	3	3	3	1	4	core
OG0000218	1	1	1	4	5	4	core
OG0000219	3	3	3	2	1	4	core
OG0000220	2	3	3	3	1	4	core
OG0000221	2	3	3	3	1	4	core
OG0000222	3	2	2	3	2	4	core
OG0000223	3	3	2	3	1	4	core
OG0000224	3	2	2	3	2	4	core
OG0000225	2	2	2	2	4	4	core
OG0000226	2	3	3	3	1	4	core
OG0000227	2	3	3	3	1	4	core
OG0000228	3	3	2	3	1	4	core
OG0000229	2	2	2	3	3	4	core
OG0000230	2	3	3	3	1	4	core
OG0000231	3	2	2	4	1	4	core
OG0000232	3	3	2	4	0	4	core
OG0000233	3	3	3	3	0	4	core
OG0000234	3	3	3	2	1	4	core
OG0000235	2	3	3	4	0	4	core
OG0000236	2	4	2	4	0	4	core
OG0000237	4	3	1	2	2	4	core
OG0000238	3	3	3	3	0	4	core
OG0000239	2	4	1	4	1	4	core
OG0000240	3	3	3	3	0	4	core
OG0000241	3	2	2	3	2	4	core
OG0000242	3	2	3	3	1	4	core
OG0000243	2	3	2	5	0	4	core
OG0000244	3	3	2	3	1	4	core
OG0000245	2	2	3	4	1	4	core
OG0000246	2	3	3	3	1	4	core
OG0000247	2	3	3	3	1	4	core
OG0000248	2	3	3	3	1	4	core
OG0000249	2	2	3	4	1	4	core
OG0000250	3	2	2	4	1	4	core
OG0000251	3	2	3	3	1	4	core
OG0000252	3	3	2	3	1	4	core
OG0000253	2	3	3	3	1	4	core
OG0000254	3	3	3	3	0	4	core
OG0000255	3	2	3	3	1	4	core
OG0000256	3	3	3	3	0	4	core
OG0000257	2	3	3	3	1	4	core
OG0000258	3	2	3	3	1	4	core
OG0000259	2	3	3	3	1	4	core
OG0000260	3	2	3	3	1	4	core
OG0000261	3	2	3	3	1	4	core
OG0000262	3	2	3	3	1	4	core
OG0000263	2	2	2	2	3	4	core
OG0000264	2	2	2	2	3	4	core
OG0000265	3	3	2	3	0	4	core
OG0000266	2	2	3	3	1	4	core
OG0000267	0	4	1	6	0	3	shell
OG0000268	2	2	2	1	4	4	core
OG0000269	3	2	2	3	1	4	core
OG0000270	3	2	2	2	2	4	core
OG0000271	3	2	1	4	1	4	core
OG0000272	2	3	2	3	1	4	core
OG0000273	2	3	2	3	1	4	core
OG0000274	3	2	2	2	2	4	core
OG0000275	3	2	2	3	1	4	core
OG0000276	3	3	3	1	1	4	core
OG0000277	3	2	2	2	2	4	core
OG0000278	3	1	3	3	1	4	core
OG0000279	2	3	2	3	1	4	core
OG0000280	1	3	3	3	1	4	core
OG0000281	2	3	2	3	1	4	core
OG0000282	2	2	3	3	1	4	core
OG0000283	2	2	3	3	1	4	core
OG0000284	2	2	3	3	1	4	core
OG0000285	2	2	1	6	0	4	core
OG0000286	3	2	3	3	0	4	core
OG0000287	3	2	2	3	1	4	core
OG0000288	3	2	2	3	1	4	core
OG0000289	2	2	2	3	2	4	core
OG0000290	2	3	3	3	0	4	core
OG0000291	3	1	3	3	1	4	core
OG0000292	2	3	3	3	0	4	core
OG0000293	3	2	2	4	0	4	core
OG0000294	3	2	3	3	0	4	core
OG0000295	2	2	4	2	1	4	core
OG0000296	2	3	2	3	1	4	core
OG0000297	1	2	2	2	4	4	core
OG0000298	1	2	1	7	0	4	core
OG0000299	1	1	5	4	0	4	core
OG0000300	1	3	3	3	1	4	core
OG0000301	3	3	2	3	0	4	core
OG0000302	2	3	2	3	1	4	core
OG0000303	2	1	3	4	1	4	core
OG0000304	2	2	3	3	1	4	core
OG0000305	2	2	3	3	1	4	core
OG0000306	2	2	3	3	1	4	core
OG0000307	2	2	3	3	1	4	core
OG0000308	2	3	3	3	0	4	core
OG0000309	1	2	1	5	2	4	core
OG0000310	3	1	3	3	1	4	core
OG0000311	3	1	3	3	1	4	core
OG0000312	2	3	2	3	1	4	core
OG0000313	1	2	2	5	1	4	core
OG0000314	1	3	3	3	1	4	core
OG0000315	0	1	0	0	9	1	cloud
OG0000316	2	2	2	3	1	4	core
OG0000317	1	1	3	3	2	4	core
OG0000318	2	2	2	2	2	4	core
OG0000319	2	1	3	2	2	4	core
OG0000320	2	2	3	3	0	4	core
